thermal_conductivity,gram,price,name,link
5.5,3.0,21.25,"Pasta Térmica Fortrek Freezy Light 3g 5,5w/mk Cinza/prata",https://www.kabum.com.br/produto/673914/pasta-termica-fortrek-freezy-light-3g-5-5w-mk-cinza-prata
8.5,4.0,50.92,Pasta Termica Pcyes Pcynp0485 Nitrogen Pro 4g - 8.5w/mk,https://www.kabum.com.br/produto/428925/pasta-termica-pcyes-pcynp0485-nitrogen-pro-4g-8-5w-mk
10.5,20.0,127.07,"Pasta Térmica Profissional Implastec, Ts Cold 20g 10,5w/m.k",https://www.kabum.com.br/produto/484261/pasta-termica-profissional-implastec-ts-cold-20g-10-5w-m-k
4.8,0.5,2.44,"Pasta Térmica Gd900 0,5g Condutividade 4.8 W/m-k Sachê (1 Sachê)",https://www.kabum.com.br/produto/565454/pasta-termica-gd900-0-5g-condutividade-4-8-w-m-k-sache-1-sache-
4.0,5.0,102.89,"Pasta Térmica Akasa T5 Essential - Seringa 5g - 4,0 W/mk - Ak-t505-5g",https://www.kabum.com.br/produto/400932/pasta-termica-akasa-t5-essential-seringa-5g-4-0-w-mk-ak-t505-5g
6.2,20.0,103.62,"Pasta Térmica Profissional Implastec,Ts Pro 20g 6,2w/m.k",https://www.kabum.com.br/produto/484260/pasta-termica-profissional-implastec-ts-pro-20g-6-2w-m-k
80.0,5.0,436.61,Pasta Térmica Metal Líquido Thermal Hero Metalliq 80 W/mk 5g,https://www.kabum.com.br/produto/709179/pasta-termica-metal-liquido-thermal-hero-metalliq-80-w-mk-5g
12.5,4.0,83.88,"Pasta Termica Pcyes Pcynm04125 Nitrogen Max 4g, 12.5w/mk",https://www.kabum.com.br/produto/429962/pasta-termica-pcyes-pcynm04125-nitrogen-max-4g-12-5w-mk
17.0,1.0,153.44,Pasta Térmica Thermal Hero Quantum Alta Performance 17 W/mk 1g,https://www.kabum.com.br/produto/709180/pasta-termica-thermal-hero-quantum-alta-performance-17-w-mk-1g
7.5,5.0,15.84,"Pasta Térmica Ryvel Arctic 7.5w, 5g, Cinza - Ry-pt-a7-wt",https://www.kabum.com.br/produto/716543/pasta-termica-ryvel-arctic-7-5w-5g-cinza-ry-pt-a7-wt
5.5,50.0,107.91,"Pasta Termica Pcyes Pcynb5055 Nitrogen Basic 50g, 5.5w/mk",https://www.kabum.com.br/produto/428929/pasta-termica-pcyes-pcynb5055-nitrogen-basic-50g-5-5w-mk
14.0,1.5,107.79,Pasta Térmica Pcyes Nitrogen Extreme - 1.5g - 14w/mk - Pcyne1514,https://www.kabum.com.br/produto/576879/pasta-termica-pcyes-nitrogen-extreme-1-5g-14w-mk-pcyne1514
12.0,1.0,59.57,Pasta Termica Thermal Hero Neo 1g 12w/m*k Th-201201,https://www.kabum.com.br/produto/658050/pasta-termica-thermal-hero-neo-1g-12w-m-k-th-201201
10.5,3.0,58.44,"Pasta Térmica Fortrek 3,0gr Freezy Pro, 10,5w/mk",https://www.kabum.com.br/produto/702080/pasta-termica-fortrek-3-0gr-freezy-pro-10-5w-mk
12.0,2.0,66.51,Pasta Termica Thermal Hero Neo 2g 12w/m*k Th-201202,https://www.kabum.com.br/produto/658051/pasta-termica-thermal-hero-neo-2g-12w-m-k-th-201202
5.5,1.5,19.9,"Pasta Térmica Fortrek Freezy Light 1,5g 5,5w/mk Cinza/prata",https://www.kabum.com.br/produto/673913/pasta-termica-fortrek-freezy-light-1-5g-5-5w-mk-cinza-prata
17.0,2.0,200.96,Pasta Térmica Thermal Hero Quantum Alta Performance 17 W/mk 2g,https://www.kabum.com.br/produto/709181/pasta-termica-thermal-hero-quantum-alta-performance-17-w-mk-2g
5.5,50.0,69.06,"Pasta Térmica Fortrek 50gr Freezy Light, 5,5w/mk",https://www.kabum.com.br/produto/702081/pasta-termica-fortrek-50gr-freezy-light-5-5w-mk
10.5,4.0,51.52,"Pasta Térmica Ts - Cold 10,5 W/mk Seringa 4g",https://www.kabum.com.br/produto/686525/pasta-termica-ts-cold-10-5-w-mk-seringa-4g
